temperature,solar_ghi,solar_prediction_mw,wind_prediction_mw,load_actuals_mw,timestamp,month,season,workdayornot,temperature_lag1,temperature_lag2,temperature_lag3,temperature_lag4,temperature_lag5,temperature_lag6,load_actuals_mw_lag1,load_actuals_mw_lag2,load_actuals_mw_lag3,load_actuals_mw_lag4,load_actuals_mw_lag5,load_actuals_mw_lag6,wind_prediction_mw_lag1,wind_prediction_mw_lag2,wind_prediction_mw_lag3,wind_prediction_mw_lag4,wind_prediction_mw_lag5,wind_prediction_mw_lag6,solar_prediction_mw_lag1,solar_prediction_mw_lag2,solar_prediction_mw_lag3,solar_prediction_mw_lag4,solar_prediction_mw_lag5,solar_prediction_mw_lag6
134.6351,0.0000,0.0000,53.9495,89.6098,2020-01-01 02:30:00+01:00,1,1,0,134.6573,134.6795,134.8876,134.9232,134.9587,134.9943,90.6511,91.5067,92.1629,93.7981,94.8362,95.7563,57.2304,61.1283,64.3057,66.9774,69.2968,70.8654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
134.6129,0.0000,0.0000,50.5166,88.3333,2020-01-01 02:45:00+01:00,1,1,0,134.6351,134.6573,134.6795,134.8876,134.9232,134.9587,89.6098,90.6511,91.5067,92.1629,93.7981,94.8362,53.9495,57.2304,61.1283,64.3057,66.9774,69.2968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
134.5925,0.0000,0.0000,47.2634,87.3941,2020-01-01 03:00:00+01:00,1,1,0,134.6129,134.6351,134.6573,134.6795,134.8876,134.9232,88.3333,89.6098,90.6511,91.5067,92.1629,93.7981,50.5166,53.9495,57.2304,61.1283,64.3057,66.9774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
134.5740,0.0000,0.0000,44.7925,86.6259,2020-01-01 03:15:00+01:00,1,1,0,134.5925,134.6129,134.6351,134.6573,134.6795,134.8876,87.3941,88.3333,89.6098,90.6511,91.5067,92.1629,47.2634,50.5166,53.9495,57.2304,61.1283,64.3057,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
134.5555,0.0000,0.0000,42.2637,86.3420,2020-01-01 03:30:00+01:00,1,1,0,134.5740,134.5925,134.6129,134.6351,134.6573,134.6795,86.6259,87.3941,88.3333,89.6098,90.6511,91.5067,44.7925,47.2634,50.5166,53.9495,57.2304,61.1283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
134.5369,0.0000,0.0000,39.8858,85.9070,2020-01-01 03:45:00+01:00,1,1,0,134.5555,134.5740,134.5925,134.6129,134.6351,134.6573,86.3420,86.6259,87.3941,88.3333,89.6098,90.6511,42.2637,44.7925,47.2634,50.5166,53.9495,57.2304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
134.5171,0.0000,0.0000,38.0083,84.9235,2020-01-01 04:00:00+01:00,1,1,0,134.5369,134.5555,134.5740,134.5925,134.6129,134.6351,85.9070,86.3420,86.6259,87.3941,88.3333,89.6098,39.8858,42.2637,44.7925,47.2634,50.5166,53.9495,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
134.4959,0.0000,0.0000,35.7771,84.4939,2020-01-01 04:15:00+01:00,1,1,0,134.5171,134.5369,134.5555,134.5740,134.5925,134.6129,84.9235,85.9070,86.3420,86.6259,87.3941,88.3333,38.0083,39.8858,42.2637,44.7925,47.2634,50.5166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
134.4747,0.0000,0.0000,33.8634,84.0052,2020-01-01 04:30:00+01:00,1,1,0,134.4959,134.5171,134.5369,134.5555,134.5740,134.5925,84.4939,84.9235,85.9070,86.3420,86.6259,87.3941,35.7771,38.0083,39.8858,42.2637,44.7925,47.2634,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
134.4535,0.0000,0.0000,32.3396,83.9674,2020-01-01 04:45:00+01:00,1,1,0,134.4747,134.4959,134.5171,134.5369,134.5555,134.5740,84.0052,84.4939,84.9235,85.9070,86.3420,86.6259,33.8634,35.7771,38.0083,39.8858,42.2637,44.7925,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
